transaction_text,category
YouTube Premium #6098,Entertainment
Walmart Grocery #6993,Groceries
Target #9416,Shopping
Goibibo #4281,Travel
Starbucks #8301,Coffee & Dining
Bolt #1509,Transport
Grab #1672,Transport
Narayana Health #8075,Healthcare
Khan Academy #5107,Education
SonyLIV #5489,Entertainment
Kotak ATM #3261,Cash Withdrawal
Punjab National Bank ATM #4583,Cash Withdrawal
Target Electronics #2601,Electronics
UNICEF #2419,Donations
Bolt #2801,Transport
Amazon Prime #9738,Entertainment
Zomato #2025,Food Delivery
Taj Hotels #3851,Travel
Amazon Prime #3887,Entertainment
Zara #8208,Shopping
Cable TV Bill #7374,Bills & Utilities
Gulf Petrol #7307,Fuel
Aldi #9757,Groceries
Best Buy #2676,Shopping
Target #3688,Shopping
Max Life #6108,Insurance
Khan Academy #3842,Education
Zara #5771,Shopping
Subway #3617,Coffee & Dining
Electricity Bill #3395,Bills & Utilities
Indian Oil #5593,Fuel
Canara Bank ATM #4616,Cash Withdrawal
Spotify #5516,Entertainment
Nike #9873,Shopping
KFC #8383,Coffee & Dining
Grab #9355,Transport
HelpAge India #6069,Donations
Hulu #8899,Entertainment
Apple TV+ #4789,Entertainment
Amazon Electronics #8517,Electronics
Uber #3452,Transport
Kotak ATM #1919,Cash Withdrawal
Taj Hotels #6225,Travel
Walmart Electronics #1146,Electronics
Walmart Grocery #8081,Groceries
Disney+ #3649,Entertainment
Akshaya Patra #7895,Donations
Bolt #6425,Transport
Amazon Electronics #8486,Electronics
BookMyShow #7436,Entertainment
Broadband Bill #7702,Bills & Utilities
Postmates #5896,Food Delivery
Marriott #2882,Travel
SBI ATM #7652,Cash Withdrawal
Grubhub #7704,Food Delivery
Lidl #8018,Groceries
Fortis Hospital #3272,Healthcare
Ola #3686,Transport
ICICI Prudential #1700,Insurance
Pharmeasy #4877,Healthcare
Postmates #8436,Food Delivery
BookMyShow #4494,Entertainment
Chevron #9717,Fuel
Subway #3451,Coffee & Dining
Medlife #8217,Healthcare
Chegg #9809,Education
Electricity Bill #8392,Bills & Utilities
Apollo Pharmacy #5740,Healthcare
Amazon Prime #8881,Entertainment
Carrefour #3057,Groceries
Vedantu #1419,Education
AIIMS #9997,Healthcare
McDonalds #1704,Coffee & Dining
Lidl #3268,Groceries
Amazon #8677,Shopping
Airbnb #8069,Travel
Aldi #7668,Groceries
Flipkart #6432,Shopping
HDFC ATM #9339,Cash Withdrawal
ExxonMobil #6752,Fuel
Gojek #6044,Transport
Booking.com #6690,Travel
Gas Bill #7248,Bills & Utilities
Didi #7054,Transport
SBI ATM #2122,Cash Withdrawal
Uber Eats #2193,Food Delivery
Kotak ATM #2185,Cash Withdrawal
Landline Bill #1586,Bills & Utilities
Shell Petrol #5580,Fuel
HelpAge India #5092,Donations
Disney+ #7353,Entertainment
Byju's #6055,Education
Medlife #1068,Healthcare
Max Hospital #6493,Healthcare
Airbnb #7541,Travel
Cable TV Bill #5937,Bills & Utilities
BookMyShow #8656,Entertainment
Indian Oil #2718,Fuel
Spotify #1102,Entertainment
Target Electronics #9710,Electronics
Barista #4102,Coffee & Dining
HDFC Insurance #6083,Insurance
Shell Petrol #7302,Fuel
Disney+ #8513,Entertainment
DoorDash #7947,Food Delivery
Expedia #7935,Travel
Tata AIA #1113,Insurance
UNICEF #2758,Donations
Taj Hotels #4787,Travel
Disney+ #5408,Entertainment
Axis ATM #1338,Cash Withdrawal
Apollo Pharmacy #6939,Healthcare
Uber Eats #8576,Food Delivery
Best Buy Electronics #5383,Electronics
Broadband Bill #1300,Bills & Utilities
Bolt #8440,Transport
Max Life #3784,Insurance
Khan Academy #4491,Education
SonyLIV #5962,Entertainment
Child Rights and You #8929,Donations
Medlife #5743,Healthcare
KFC #6551,Coffee & Dining
Walmart Grocery #4876,Groceries
Ola #3650,Transport
Electricity Bill #9297,Bills & Utilities
OYO #8752,Travel
Myntra #1010,Shopping
Big Bazaar #2224,Shopping
LIC #4283,Insurance
Zara #5067,Shopping
MakeMyTrip #6727,Travel
Udemy #6934,Education
Kotak ATM #8692,Cash Withdrawal
Bajaj Allianz #9225,Insurance
Narayana Health #5840,Healthcare
Landline Bill #6287,Bills & Utilities
Bank of Baroda ATM #5654,Cash Withdrawal
Lidl #7563,Groceries
Chegg #7674,Education
Big Bazaar #8035,Shopping
edX #2667,Education
Manipal Hospital #3410,Healthcare
Fortis Hospital #7371,Healthcare
Grab #4425,Transport
Amazon #6190,Shopping
Uber #3918,Transport
HDFC Insurance #7571,Insurance
Toppr #2025,Education
HDFC Insurance #8594,Insurance
BP #3039,Fuel
Expedia #2815,Travel
D-Mart #7515,Shopping
HP Petrol #4511,Fuel
Canara Bank ATM #9829,Cash Withdrawal
Akshaya Patra #3975,Donations
Dominos #8672,Coffee & Dining
Gulf Petrol #3243,Fuel
Caltex #5924,Fuel
Coursera #2500,Education
YouTube Premium #2936,Entertainment
Rapido #9548,Transport
Landline Bill #2005,Bills & Utilities
Costa Coffee #3977,Coffee & Dining
Amazon Fresh #6150,Groceries
Netmeds #6544,Healthcare
BP #4457,Fuel
Indian Oil #9249,Fuel
Punjab National Bank ATM #5799,Cash Withdrawal
Chegg #1535,Education
Postmates #7872,Food Delivery
Chevron #1803,Fuel
Gulf Petrol #7965,Fuel
Broadband Bill #4593,Bills & Utilities
Pizza Hut #8236,Coffee & Dining
Coursera #4721,Education
Booking.com #6874,Travel
Uber #1985,Transport
ICICI Prudential #8451,Insurance
HDFC ATM #3239,Cash Withdrawal
Gojek #1155,Transport
Rapido #3864,Transport
Gojek #4419,Transport
Target #4296,Shopping
Spotify #7677,Entertainment
ICICI Prudential #8223,Insurance
Swiggy #7660,Food Delivery
Manipal Hospital #4515,Healthcare
LIC #8631,Insurance
Hotstar #3388,Entertainment
Swiggy #2581,Food Delivery
Cable TV Bill #2949,Bills & Utilities
Grofers #3923,Groceries
Flipkart Electronics #7019,Electronics
Goibibo #5616,Travel
Aditya Birla Sun Life #9879,Insurance
Cable TV Bill #6803,Bills & Utilities
Amazon Fresh #1551,Groceries
Dominos #6372,Coffee & Dining
Dominos #5083,Coffee & Dining
UNICEF #1138,Donations
Aldi #2706,Groceries
Just Eat #6075,Food Delivery
Taxi #1777,Transport
AIIMS #7665,Healthcare
SBI ATM #2124,Cash Withdrawal
Apple Store #5394,Electronics
Adidas #1971,Shopping
Best Buy Electronics #4721,Electronics
GiveIndia #2868,Donations
Booking.com #3414,Travel
YouTube Premium #2248,Entertainment
Akshaya Patra #5254,Donations
Vedantu #7782,Education
Lyft #1493,Transport
OYO #3895,Travel
Cable TV Bill #5469,Bills & Utilities
D-Mart #3505,Shopping
Fortis Hospital #5816,Healthcare
Unacademy #6050,Education
SonyLIV #4253,Entertainment
Max Life #5352,Insurance
Chegg #2794,Education
Dominos #6559,Coffee & Dining
Narayana Health #7390,Healthcare
HP Petrol #4541,Fuel
Expedia #9907,Travel
Udemy #2195,Education
Indian Oil #8249,Fuel
Manipal Hospital #2723,Healthcare
ICICI Prudential #6214,Insurance
Big Bazaar #4304,Shopping
Broadband Bill #9327,Bills & Utilities
Save the Children #3387,Donations
Gas Bill #5727,Bills & Utilities
Bolt #3626,Transport
ICICI Prudential #8631,Insurance
Pharmeasy #1447,Healthcare
Netmeds #2011,Healthcare
Akshaya Patra #4118,Donations
BPCL #9339,Fuel
ExxonMobil #4882,Fuel
HelpAge India #8133,Donations
BigBasket #4877,Groceries
Unacademy #4702,Education
Carrefour #3450,Groceries
Child Rights and You #6189,Donations
Kotak ATM #6839,Cash Withdrawal
Swiggy #7802,Food Delivery
Burger King #7168,Coffee & Dining
Amazon Fresh #7308,Groceries
