transaction_text,category
Save the Children #2979,Donations
Mobile Recharge #7613,Bills & Utilities
D-Mart Fresh #9424,Groceries
ICICI Prudential #5831,Insurance
Deliveroo #2262,Food Delivery
HP Petrol #2589,Fuel
Water Bill #6113,Bills & Utilities
Canara Bank ATM #7647,Cash Withdrawal
Punjab National Bank ATM #7630,Cash Withdrawal
Internet Bill #4876,Bills & Utilities
ICICI ATM #5429,Cash Withdrawal
Hilton #6064,Travel
Foodpanda #6042,Food Delivery
Nike #9312,Shopping
Canara Bank ATM #9793,Cash Withdrawal
Mobile Recharge #7606,Bills & Utilities
Udemy #3768,Education
Uber #8138,Transport
Hilton #5951,Travel
Apple Store #5036,Electronics
Hilton #6864,Travel
Kotak ATM #9126,Cash Withdrawal
Barista #9226,Coffee & Dining
Goibibo #9385,Travel
Barista #2117,Coffee & Dining
AIIMS #7145,Healthcare
Goibibo #6476,Travel
SBI Life #7412,Insurance
Dunzo #7034,Food Delivery
Nike #2684,Shopping
Max Life #3277,Insurance
BPCL #9057,Fuel
BigBasket #7073,Groceries
Netmeds #2764,Healthcare
LIC #9175,Insurance
Pizza Hut #3401,Coffee & Dining
Dunzo #9676,Food Delivery
Pizza Hut #9499,Coffee & Dining
Uber Eats #5866,Food Delivery
Gas Bill #8102,Bills & Utilities
Rapido #4883,Transport
Foodpanda #1914,Food Delivery
Walmart Grocery #9711,Groceries
GiveIndia #6431,Donations
SBI Life #4901,Insurance
IKEA #9970,Shopping
Red Cross #7311,Donations
Walmart #7443,Shopping
Rapido #3958,Transport
Dominos #6245,Coffee & Dining
Expedia #5664,Travel
Toppr #1250,Education
Lidl #5226,Groceries
Pharmeasy #3222,Healthcare
Pizza Hut #8432,Coffee & Dining
Foodpanda #4779,Food Delivery
Quizlet #5594,Education
Just Eat #8937,Food Delivery
Quizlet #7486,Education
McDonalds #6605,Coffee & Dining
Carrefour #3701,Groceries
Carrefour #9644,Groceries
ExxonMobil #8150,Fuel
Airbnb #9022,Travel
Internet Bill #1360,Bills & Utilities
Tata AIA #4866,Insurance
Chegg #6668,Education
SonyLIV #5934,Entertainment
Hyatt #2460,Travel
Booking.com #3029,Travel
Shell Petrol #9111,Fuel
Kotak ATM #3344,Cash Withdrawal
Udemy #5795,Education
Postmates #4863,Food Delivery
Costa Coffee #9956,Coffee & Dining
Postmates #4231,Food Delivery
BPCL #2019,Fuel
Walmart #4810,Shopping
Total Petrol #4160,Fuel
Zara #6473,Shopping
Hilton #7841,Travel
OnePlus Store #8866,Electronics
ICICI ATM #7302,Cash Withdrawal
IKEA #9682,Shopping
Water Bill #2858,Bills & Utilities
Apple Store #4927,Electronics
Barista #1125,Coffee & Dining
Apple TV+ #7528,Entertainment
Udemy #6157,Education
SonyLIV #5746,Entertainment
Red Cross #9760,Donations
Child Rights and You #9147,Donations
Water Bill #2892,Bills & Utilities
Aldi #2053,Groceries
Subway #1109,Coffee & Dining
Dominos #7660,Coffee & Dining
Dunzo #5287,Food Delivery
Manipal Hospital #2608,Healthcare
Cable TV Bill #1844,Bills & Utilities
AIIMS #2664,Healthcare
Quizlet #2682,Education
Cable TV Bill #3231,Bills & Utilities
Red Cross #1686,Donations
Nike #7920,Shopping
Target Electronics #6600,Electronics
H&M #7474,Shopping
Taj Hotels #6828,Travel
OYO #1982,Travel
Just Eat #8484,Food Delivery
Expedia #6877,Travel
Gas Bill #4928,Bills & Utilities
KFC #4026,Coffee & Dining
H&M #3985,Shopping
DoorDash #2134,Food Delivery
Walmart Electronics #4602,Electronics
Walmart Electronics #6058,Electronics
Amazon Prime #6588,Entertainment
DoorDash #4190,Food Delivery
KFC #8714,Coffee & Dining
Quizlet #2556,Education
Spotify #4948,Entertainment
Save the Children #3492,Donations
Amazon #5277,Shopping
Walmart Grocery #3042,Groceries
Target #1868,Shopping
Grab #5321,Transport
Udemy #1388,Education
Tata AIA #9701,Insurance
Dunzo #3432,Food Delivery
Red Cross #8698,Donations
Shell Petrol #6364,Fuel
Save the Children #2239,Donations
Flipkart #3985,Shopping
Mobile Recharge #6298,Bills & Utilities
Pizza Hut #1351,Coffee & Dining
Amazon #1556,Shopping
Starbucks #1971,Coffee & Dining
Deliveroo #1386,Food Delivery
Big Bazaar #5076,Shopping
Taj Hotels #4827,Travel
GiveIndia #3496,Donations
Gas Bill #3123,Bills & Utilities
Kotak ATM #7683,Cash Withdrawal
Unacademy #9739,Education
UNICEF #3197,Donations
Grofers #3507,Groceries
Hilton #7010,Travel
SonyLIV #3406,Entertainment
Chevron #4129,Fuel
OnePlus Store #6965,Electronics
SBI Life #6780,Insurance
Aditya Birla Sun Life #7998,Insurance
Airbnb #2622,Travel
BookMyShow #3285,Entertainment
Uber #2131,Transport
Auto Rickshaw #7546,Transport
HDFC ATM #2732,Cash Withdrawal
HP Petrol #8571,Fuel
Indian Oil #4444,Fuel
OnePlus Store #7920,Electronics
Chegg #5508,Education
Hotstar #1711,Entertainment
Quizlet #9709,Education
AIIMS #7318,Healthcare
McDonalds #3870,Coffee & Dining
Samsung Store #7093,Electronics
Max Hospital #8093,Healthcare
Foodpanda #5428,Food Delivery
Reliance Fresh #9758,Groceries
Indian Oil #9117,Fuel
Apple Store #2712,Electronics
SBI ATM #4996,Cash Withdrawal
Ola #7581,Transport
Target #4079,Shopping
Aldi #4138,Groceries
Zara #3180,Shopping
Flipkart #8202,Shopping
Reliance Fresh #4125,Groceries
Chegg #9977,Education
McDonalds #8423,Coffee & Dining
Didi #1963,Transport
Netmeds #6215,Healthcare
Uber #8989,Transport
Quizlet #4774,Education
Shell Petrol #5695,Fuel
Chegg #9086,Education
Grab #6630,Transport
Bank of Baroda ATM #9452,Cash Withdrawal
Max Hospital #2429,Healthcare
BP #5875,Fuel
Grubhub #8472,Food Delivery
Xiaomi Store #2758,Electronics
Gojek #5450,Transport
Grubhub #6106,Food Delivery
H&M #6303,Shopping
Tesco #3785,Groceries
Walmart Electronics #1130,Electronics
Manipal Hospital #6904,Healthcare
DoorDash #2346,Food Delivery
Electricity Bill #7718,Bills & Utilities
Costa Coffee #7633,Coffee & Dining
Rapido #3215,Transport
BigBasket #8070,Groceries
ICICI Prudential #3436,Insurance
Medlife #5649,Healthcare
Indian Oil #2218,Fuel
BookMyShow #5490,Entertainment
Bank of Baroda ATM #6535,Cash Withdrawal
Bolt #9806,Transport
HDFC ATM #4021,Cash Withdrawal
Axis ATM #4565,Cash Withdrawal
Foodpanda #8951,Food Delivery
Pharmeasy #4476,Healthcare
Canara Bank ATM #7562,Cash Withdrawal
Bolt #9738,Transport
Rapido #5750,Transport
Cafe Coffee Day #8871,Coffee & Dining
Booking.com #1054,Travel
AIIMS #2685,Healthcare
SonyLIV #5527,Entertainment
ICICI Prudential #8511,Insurance
Dunzo #9972,Food Delivery
Apple TV+ #1528,Entertainment
Zee5 #3930,Entertainment
Xiaomi Store #6067,Electronics
Walmart Grocery #8194,Groceries
Flipkart #4459,Shopping
Marriott #1364,Travel
Narayana Health #4009,Healthcare
Target #2548,Shopping
AIIMS #6888,Healthcare
Medlife #2730,Healthcare
AIIMS #2839,Healthcare
Punjab National Bank ATM #5745,Cash Withdrawal
Save the Children #9952,Donations
Netmeds #7558,Healthcare
Manipal Hospital #9836,Healthcare
H&M #7398,Shopping
Ola #6816,Transport
Target #9918,Shopping
Amazon Fresh #1548,Groceries
Max Hospital #2922,Healthcare
AIIMS #4435,Healthcare
MakeMyTrip #8354,Travel
Zee5 #7749,Entertainment
Apple TV+ #3147,Entertainment
Reliance Trends #9396,Shopping
Subway #2572,Coffee & Dining
Aldi #5377,Groceries
Toppr #4323,Education
Uber #7101,Transport
Netmeds #1995,Healthcare
Caltex #1466,Fuel
Starbucks #1547,Coffee & Dining
Hotstar #3904,Entertainment
BPCL #7918,Fuel
Cable TV Bill #5435,Bills & Utilities
Marriott #1285,Travel
Uber Eats #9168,Food Delivery
Big Bazaar #4995,Shopping
Didi #2026,Transport
Target #3291,Shopping
Didi #6421,Transport
MakeMyTrip #6632,Travel
Cafe Coffee Day #2228,Coffee & Dining
Taj Hotels #4086,Travel
Punjab National Bank ATM #4797,Cash Withdrawal
Caltex #4542,Fuel
Gojek #8293,Transport
SBI Life #1199,Insurance
Flipkart Electronics #1759,Electronics
D-Mart #4199,Shopping
Uber Eats #7917,Food Delivery
Costa Coffee #6189,Coffee & Dining
Walmart Grocery #5473,Groceries
Pizza Hut #5803,Coffee & Dining
Gulf Petrol #9912,Fuel
edX #9685,Education
Flipkart Electronics #7397,Electronics
Electricity Bill #4476,Bills & Utilities
Udemy #6441,Education
AIIMS #3883,Healthcare
LIC #1183,Insurance
Uber Eats #5169,Food Delivery
Dunzo #8687,Food Delivery
Pizza Hut #8726,Coffee & Dining
Max Hospital #6517,Healthcare
Grubhub #3014,Food Delivery
Max Hospital #4391,Healthcare
Max Life #7763,Insurance
Burger King #6411,Coffee & Dining
HP Petrol #5865,Fuel
LIC #4833,Insurance
Byju's #6832,Education
HDFC ATM #1021,Cash Withdrawal
Bank of Baroda ATM #3242,Cash Withdrawal
Netflix #5381,Entertainment
Best Buy Electronics #4902,Electronics
Dunzo #1369,Food Delivery
Water Bill #1988,Bills & Utilities
Axis ATM #4013,Cash Withdrawal
SonyLIV #9882,Entertainment
Tesco #9696,Groceries
GiveIndia #8828,Donations
Goibibo #3352,Travel
Save the Children #8641,Donations
Marriott #1093,Travel
Aditya Birla Sun Life #4255,Insurance
McDonalds #4886,Coffee & Dining
Cable TV Bill #9154,Bills & Utilities
Booking.com #7730,Travel
Big Bazaar #5299,Shopping
Axis ATM #2618,Cash Withdrawal
Didi #8812,Transport
Coursera #7100,Education
Coursera #8081,Education
SBI Life #8914,Insurance
Coursera #5745,Education
OnePlus Store #6447,Electronics
Unacademy #2946,Education
Gulf Petrol #9495,Fuel
Hotstar #6298,Entertainment
Chegg #2937,Education
Big Bazaar #9512,Shopping
Grubhub #1153,Food Delivery
HP Petrol #2990,Fuel
Reliance Fresh #3050,Groceries
Kotak ATM #6782,Cash Withdrawal
Hyatt #7537,Travel
Auto Rickshaw #6177,Transport
HelpAge India #5198,Donations
Starbucks #9541,Coffee & Dining
Best Buy #3082,Shopping
Pizza Hut #7117,Coffee & Dining
Max Hospital #6095,Healthcare
BigBasket #1359,Groceries
Burger King #2914,Coffee & Dining
Apollo Pharmacy #2264,Healthcare
Grubhub #3505,Food Delivery
Internet Bill #3694,Bills & Utilities
Spotify #1737,Entertainment
Expedia #9738,Travel
Netmeds #9097,Healthcare
Water Bill #3943,Bills & Utilities
Taj Hotels #9611,Travel
Manipal Hospital #6527,Healthcare
Shell Petrol #9904,Fuel
Chevron #5033,Fuel
Gulf Petrol #4600,Fuel
Kotak ATM #8444,Cash Withdrawal
ICICI ATM #9613,Cash Withdrawal
Dominos #9982,Coffee & Dining
GiveIndia #9486,Donations
Apollo Pharmacy #6402,Healthcare
Auto Rickshaw #2244,Transport
Amazon #7325,Shopping
Amazon Fresh #2713,Groceries
LIC #7536,Insurance
Uber Eats #3885,Food Delivery
Gas Bill #9133,Bills & Utilities
Aldi #3317,Groceries
BPCL #7902,Fuel
Hyatt #1248,Travel
Netflix #8215,Entertainment
Electricity Bill #7660,Bills & Utilities
Tata AIA #3277,Insurance
Target Electronics #3350,Electronics
Grab #8490,Transport
OYO #9787,Travel
McDonalds #7034,Coffee & Dining
Bank of Baroda ATM #2648,Cash Withdrawal
AIIMS #4003,Healthcare
LIC #5420,Insurance
Hulu #9768,Entertainment
Chegg #9967,Education
Coursera #6594,Education
Apple TV+ #8667,Entertainment
Amazon #9871,Shopping
Pizza Hut #6487,Coffee & Dining
Deliveroo #5048,Food Delivery
Medlife #7762,Healthcare
Booking.com #3759,Travel
Zara #2580,Shopping
Amazon Prime #3944,Entertainment
Bank of Baroda ATM #3571,Cash Withdrawal
Total Petrol #6323,Fuel
Cafe Coffee Day #6974,Coffee & Dining
Electricity Bill #9730,Bills & Utilities
Hotstar #8820,Entertainment
BP #6734,Fuel
edX #1856,Education
Subway #8353,Coffee & Dining
Unacademy #9781,Education
H&M #6563,Shopping
Grubhub #6329,Food Delivery
Bajaj Allianz #9570,Insurance
Didi #6279,Transport
Netflix #9192,Entertainment
Coursera #3007,Education
Aldi #8853,Groceries
HP Petrol #6708,Fuel
Indian Oil #1673,Fuel
Xiaomi Store #4639,Electronics
Quizlet #5438,Education
Coursera #6765,Education
Vedantu #3338,Education
D-Mart #3019,Shopping
UNICEF #5489,Donations
Carrefour #5355,Groceries
Save the Children #5948,Donations
Hulu #3055,Entertainment
Netflix #2815,Entertainment
Max Life #2669,Insurance
Medlife #3722,Healthcare
Fortis Hospital #5782,Healthcare
Costa Coffee #1427,Coffee & Dining
Cable TV Bill #8661,Bills & Utilities
Booking.com #6105,Travel
Hulu #5766,Entertainment
HDFC ATM #2030,Cash Withdrawal
SonyLIV #2813,Entertainment
KFC #9147,Coffee & Dining
Reliance Fresh #6968,Groceries
Big Bazaar #3262,Shopping
Big Bazaar #8232,Shopping
Postmates #2195,Food Delivery
Samsung Store #2242,Electronics
SBI Life #8496,Insurance
Hyatt #3142,Travel
SBI ATM #9815,Cash Withdrawal
Chevron #2609,Fuel
Swiggy #5112,Food Delivery
Barista #4566,Coffee & Dining
Broadband Bill #4666,Bills & Utilities
Gas Bill #6200,Bills & Utilities
Walmart Grocery #6827,Groceries
Landline Bill #3126,Bills & Utilities
Reliance Fresh #5064,Groceries
Vedantu #5799,Education
HDFC ATM #2317,Cash Withdrawal
Target Electronics #6890,Electronics
Byju's #5921,Education
Mobile Recharge #9547,Bills & Utilities
Save the Children #1198,Donations
Fortis Hospital #9478,Healthcare
Taxi #1884,Transport
Udemy #1868,Education
Flipkart Electronics #6695,Electronics
Canara Bank ATM #8526,Cash Withdrawal
AIIMS #9665,Healthcare
D-Mart Fresh #1233,Groceries
Spotify #2266,Entertainment
Child Rights and You #4456,Donations
HP Petrol #4726,Fuel
Walmart #1342,Shopping
Myntra #2921,Shopping
Zee5 #2275,Entertainment
Dunzo #3892,Food Delivery
Grubhub #6668,Food Delivery
ExxonMobil #4459,Fuel
Nike #4932,Shopping
Uber Eats #8279,Food Delivery
Amazon Fresh #7480,Groceries
Uber #2126,Transport
Canara Bank ATM #1408,Cash Withdrawal
Tesco #3919,Groceries
Electricity Bill #5473,Bills & Utilities
Disney+ #1682,Entertainment
Grofers #6019,Groceries
Caltex #7403,Fuel
Cafe Coffee Day #6463,Coffee & Dining
Amazon #9276,Shopping
Gojek #4845,Transport
Aldi #5465,Groceries
Mobile Recharge #8586,Bills & Utilities
Save the Children #4806,Donations
Deliveroo #2413,Food Delivery
Udemy #3255,Education
Amazon #5210,Shopping
Netflix #7690,Entertainment
Tata AIA #9973,Insurance
Foodpanda #6633,Food Delivery
BP #5691,Fuel
Booking.com #1147,Travel
Water Bill #6266,Bills & Utilities
Myntra #6919,Shopping
Bolt #8367,Transport
Child Rights and You #9459,Donations
HDFC ATM #6649,Cash Withdrawal
Mobile Recharge #2740,Bills & Utilities
Chevron #7682,Fuel
Big Bazaar #6356,Shopping
Best Buy Electronics #3034,Electronics
Nike #9424,Shopping
Taj Hotels #9969,Travel
Starbucks #5911,Coffee & Dining
HelpAge India #8302,Donations
Hyatt #2649,Travel
Didi #8410,Transport
Flipkart Electronics #8630,Electronics
